199501, 4
199502, 6
199503, 2
199504, 9
199505, 12
199506, 4
199507, 7
199508, 2
199509, 1
199510, 3
199511, 14
199512, 7
199601, 4
199602, 2
199603, 5
199604, 6
199605, 2
199606, 1
199607, 4
199608, 2
199609, 4
199610, 3
199611, 4
199612, 5
199701, 8
199702, 6
199703, 4
199704, 4
199705, 6
199706, 6
199707, 3
199708, 5
199709, 3
199710, 7
199711, 7
199712, 3
199801, 6
199802, 4
199803, 3
199804, 4
199805, 6
199806, 3
199807, 9
199808, 2
199809, 5
199810, 2
199811, 8
199812, 5
199901, 6
199902, 4
199903, 2
199904, 5
199905, 8
199906, 3
199907, 6
199908, 3
199909, 112
199910, 99
199911, 38
199912, 19
200001, 19
200002, 12
200003, 17
200004, 14
200005, 26
200006, 28
200007, 28
200008, 36
200009, 31
200010, 28
200011, 15
200012, 12
200101, 12
200102, 18
200103, 8
200104, 9
200105, 8
200106, 18
200107, 10
200108, 7
200109, 20
200110, 10
200111, 5
200112, 11
200201, 7
200202, 5
200203, 18
200204, 33
200205, 33
200206, 15
200207, 4
200208, 16
200209, 16
200210, 29
200211, 11
200212, 9
200301, 6
200302, 8
200303, 11
200304, 14
200305, 10
200306, 20
200307, 14
200308, 9
200309, 9
200310, 9
200311, 8
200312, 30
200401, 10
200402, 13
200403, 8
200404, 13
200405, 18
200406, 5
200407, 7
200408, 10
200409, 6
200410, 10
200411, 8
200412, 5
200501, 13
200502, 17
200503, 18
200504, 20
200505, 29
200506, 18
200507, 11
200508, 5
200509, 9
200510, 13
200511, 7
200512, 6
200601, 7
200602, 8
200603, 8
200604, 21
200605, 5
200606, 12
200607, 5
200608, 12
200609, 6
200610, 6
200611, 6
200612, 14
200701, 6
200702, 8
200703, 11
200704, 5
200705, 3
200706, 6
200707, 10
200708, 4
200709, 9
200710, 9
200711, 12
200712, 8
200801, 6
200802, 9
200803, 8
200804, 12
200805, 4
200806, 11
200807, 8
200808, 11
200809, 10
200810, 4
200811, 10
200812, 9
200901, 9
200902, 7
200903, 8
200904, 4
200905, 6
200906, 33
200907, 28
200908, 12
200909, 8
200910, 9
200911, 16
200912, 14
201001, 8
201002, 6
201003, 20
201004, 11
201005, 3
201006, 17
201007, 13
201008, 12
201009, 17
201010, 21
201011, 18
201012, 7
201101, 7
201102, 11
201103, 18
201104, 14
201105, 15
201106, 15
201107, 37
201108, 10
201109, 10
201110, 11
201111, 12
201112, 12
201201, 22
201202, 17
201203, 13
201204, 14
201205, 14
201206, 63
201207, 10
201208, 17
201209, 9
201210, 9
201211, 12
201212, 14
201301, 13
201302, 12
201303, 18
201304, 12
201305, 19
201306, 10
201307, 12
201308, 4
201309, 11
201310, 14
201311, 33
201312, 8
201401, 18
201402, 18
201403, 17
201404, 7
201405, 20
201406, 11
201407, 9
201408, 8
201409, 12
201410, 8
201411, 16
201412, 10
201501, 7
201502, 5
201503, 3
201504, 12
201505, 3
201506, 3
201507, 8
201508, 2
201509, 20
201510, 16
201511, 7
201512, 14
201601, 4
201602, 14
201603, 4
201604, 23
201605, 32
